,host_name,id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,reviews_per_year
0,Ann,38432518,South Austin Oasis -Whole House Pool/HotTub,87824094,no_group,78745,30.21191,-97.81108,entire home/apt,393,3,13,2021-07-08,13.0,1,0,156.0
1,Marisa,40675868,Beautiful Eastside Home,5124147,no_group,78724,30.30803,-97.65246,entire home/apt,168,2,50,2021-07-08,3.02,1,283,36.24
2,Cait & Joey,29015105,Modern ATX House - 10 Min to Downtown!,6256882,no_group,78752,30.3266,-97.69795,entire home/apt,131,1,55,2021-07-08,1.64,1,98,19.68
3,Sessil,47952783,Tiny Home Extraordinaire | Stylish | Private,343836805,no_group,78745,30.21388,-97.81356,entire home/apt,90,2,36,2021-07-08,7.71,15,94,92.52
4,Deanne,47784259,Lakeline Mall* Fast WiFi*Modern decor,83747773,no_group,78717,30.47064,-97.79479,entire home/apt,150,1,15,2021-07-08,8.04,3,56,96.47999999999999
5,Alex,35653152,Elliott House,268223617,no_group,78753,30.35541,-97.70066,entire home/apt,66,1,174,2021-07-08,7.83,1,2,93.96000000000001
6,Alex,50508542,Cozy Dog Friendly modern Apt in Mueller Area.,40493745,no_group,78723,30.30116,-97.70063,entire home/apt,92,2,3,2021-07-08,3.0,2,279,36.0
7,Alison,49690755,Live Like an Austinite in South ATX Hidden Gem 💎,192792688,no_group,78749,30.20732,-97.85126,entire home/apt,154,2,10,2021-07-08,10.0,2,74,120.0
8,John,35616280,Light Filled Condo Near Zilker + Lamar + Downtown,37072291,no_group,78704,30.23541,-97.78113,entire home/apt,193,2,71,2021-07-08,11.15,1,124,133.8
9,Alex,14775358,Nice Quiet  Neighborhood,92204314,no_group,78754,30.36968,-97.66393,entire home/apt,284,2,198,2021-07-08,4.82,1,228,57.84
10,Jon & Cherry,45511551,*Mid-Century Modern Retreat*  Outdoor Living Space,67797405,no_group,78736,30.2516,-97.91671,entire home/apt,311,1,52,2021-07-08,27.37,2,130,328.44
11,Lyles & Co,49739361,Near the Lakes w pool view 6 mins to AUS Airport,401158265,no_group,78741,30.22543,-97.70483,entire home/apt,134,1,18,2021-07-08,12.56,2,160,150.72
12,WanderJaunt,48092213,WanderJaunt | Tarlton | 2BR | Central Austin,104309976,no_group,78705,30.28943,-97.74662,entire home/apt,151,1,9,2021-07-08,9.0,142,16,108.0
13,Sessil,47454816,Stylish Home | Just a walk away from Downtown!,343836805,no_group,78702,30.25664,-97.73378,private room,137,1,48,2021-07-08,8.28,15,0,99.35999999999999
14,Austin Home,41022790,NEW Luxury Modern Home in Austin,108357789,no_group,78752,30.33701,-97.70642,entire home/apt,225,1,70,2021-07-08,48.84,1,79,586.08
15,Blake,32528913,Sanitized Private Carriage House in East Austin,26119159,no_group,78702,30.27705,-97.7151,entire home/apt,93,1,187,2021-07-08,7.78,1,103,93.36
16,Matthew,14632346,Comfort & Convenience in Backyard Studio w/Kitchen,37716788,no_group,78721,30.270338654016125,-97.69428054275647,entire home/apt,67,1,349,2021-07-08,87.98,1,32,1055.76
17,Erin And Robert,17103933,Cloud Cottage: Private Guesthouse,114816577,no_group,78756,30.33024,-97.73347,entire home/apt,63,1,443,2021-07-08,9.66,1,268,115.92
18,Gary,17895096,Entire 2 Floors - Perfect Modern Home - Austin,1640172,no_group,78724,30.28198,-97.64818,private room,119,1,135,2021-07-08,3.23,2,55,38.76
19,Jami,28586138,ATX Cozy Tiny House,9228108,no_group,78752,30.33171,-97.69612,entire home/apt,92,2,246,2021-07-08,20.5,1,99,246.0
20,Josue,14979866,Cozy private room in a great location,94387756,no_group,78741,30.23106,-97.69233,private room,46,1,222,2021-07-08,4.64,2,326,55.67999999999999
21,Scott,49193557,Charming Austin Oasis - Beautiful Pool!,396806507,no_group,78704,30.22984,-97.76541,entire home/apt,566,3,7,2021-07-08,2.84,1,190,34.08
22,J. Michael,25510652,3 beds! ATX Night Life,46979459,no_group,78741,30.23269,-97.73186,private room,40,1,129,2021-07-08,3.6,2,71,43.2
